rule,name,value
ruler_315_r,average,3.1079999999999997
ruler_316_r,average,3.1079999999999997
ruler_317_r,average,3.1079999999999997
ruler_318_r,average,3.1079999999999997
ruler_319_r,average,3.1079999999999997
ruler_320_r,average,3.1079999999999997
ruler_321_r,average,3.1079999999999997
ruler_322_r,average,3.1079999999999997
ruler_323_r,average,3.1079999999999997
ruler_324_r,average,3.1079999999999997
ruler_325_r,average,3.1079999999999997
ruler_326_r,average,3.1079999999999997
ruler_327_r,average,3.1079999999999997
ruler_328_r,average,3.1079999999999997
ruler_329_r,average,3.1079999999999997
ruler_330_r,average,3.1079999999999997
ruler_331_r,average,3.1079999999999997
ruler_332_r,average,3.1079999999999997
ruler_333_r,average,3.1079999999999997
ruler_334_r,average,3.1079999999999997
ruler_335_r,average,3.1079999999999997
ruler_336_r,average,2.659
ruler_337_r,average,2.6075
ruler_338_r,average,2.6075
ruler_339_r,average,2.6075
ruler_340_r,average,2.6075
ruler_341_r,average,2.6075
ruler_342_r,average,2.6075
ruler_343_r,average,2.6075
ruler_344_r,average,2.6075
ruler_345_r,average,2.21
ruler_346_r,average,2.21
ruler_347_r,average,2.1585
ruler_348_r,average,2.1585
ruler_349_r,average,1.7095
ruler_350_r,average,1.7095
ruler_351_r,average,1.7095
ruler_352_r,average,1.7095
ruler_353_r,average,1.658
ruler_354_r,average,1.658
ruler_355_r,average,1.6059999999999999
ruler_356_r,average,1.6059999999999999
ruler_357_r,average,2.1069999999999998
ruler_358_r,average,2.1069999999999998
ruler_359_r,average,2.1069999999999998
ruler_360_r,average,2.1069999999999998
ruler_361_r,average,2.1069999999999998
ruler_362_r,average,2.1069999999999998
ruler_363_r,average,2.1069999999999998
ruler_364_r,average,2.1069999999999998
ruler_365_r,average,2.1069999999999998
ruler_366_r,average,2.1069999999999998
ruler_367_r,average,2.1069999999999998
ruler_368_r,average,2.1069999999999998
ruler_369_r,average,2.1069999999999998
ruler_370_r,average,2.1069999999999998
ruler_371_r,average,2.1069999999999998
ruler_372_r,average,2.1069999999999998
ruler_373_r,average,2.1069999999999998
ruler_374_r,average,2.1069999999999998
ruler_375_r,average,1.658
ruler_376_r,average,1.658
ruler_377_r,average,1.6064999999999998
ruler_378_r,average,1.6064999999999998
ruler_379_r,average,1.6064999999999998
ruler_380_r,average,1.6064999999999998
ruler_381_r,average,1.6064999999999998
ruler_382_r,average,2.0549999999999997
ruler_383_r,average,2.0549999999999997
ruler_384_r,average,2.0549999999999997
ruler_385_r,average,2.0549999999999997
ruler_386_r,average,2.0549999999999997
ruler_387_r,average,2.0549999999999997
ruler_388_r,average,2.0549999999999997
ruler_389_r,average,2.0549999999999997
ruler_390_r,average,2.0549999999999997
ruler_391_r,average,2.0549999999999997
ruler_392_r,average,2.0549999999999997
ruler_393_r,average,2.0549999999999997
ruler_394_r,average,2.0549999999999997
ruler_395_r,average,2.0549999999999997
ruler_396_r,average,2.0549999999999997
ruler_397_r,average,2.0549999999999997
ruler_398_r,average,2.0549999999999997
ruler_399_r,average,2.0549999999999997
ruler_400_r,average,2.0549999999999997
ruler_401_r,average,2.0549999999999997
ruler_402_r,average,2.0549999999999997
ruler_403_r,average,2.0549999999999997
ruler_404_r,average,2.0549999999999997
ruler_405_r,average,2.0549999999999997
ruler_406_r,average,2.0549999999999997
ruler_407_r,average,2.0549999999999997
ruler_408_r,average,2.0549999999999997
ruler_409_r,average,2.0549999999999997
ruler_410_r,average,2.0549999999999997
ruler_411_r,average,2.0549999999999997
ruler_412_r,average,2.0549999999999997
ruler_413_r,average,2.0549999999999997
ruler_414_r,average,2.0549999999999997
ruler_415_r,average,2.0549999999999997
ruler_416_r,average,2.0549999999999997
ruler_417_r,average,2.0549999999999997
ruler_418_r,average,2.0549999999999997
ruler_419_r,average,2.0549999999999997
ruler_420_r,average,2.0549999999999997
ruler_421_r,average,2.0549999999999997
ruler_422_r,average,2.0549999999999997
ruler_423_r,average,2.0549999999999997
ruler_424_r,average,2.0549999999999997
ruler_425_r,average,2.0549999999999997
ruler_426_r,average,2.0549999999999997
ruler_427_r,average,2.0549999999999997
ruler_428_r,average,2.0549999999999997
ruler_429_r,average,2.0549999999999997
ruler_430_r,average,2.0549999999999997
ruler_431_r,average,2.0549999999999997
ruler_432_r,average,2.0549999999999997
ruler_433_r,average,2.0549999999999997
ruler_434_r,average,2.0549999999999997
ruler_435_r,average,2.0549999999999997
ruler_436_r,average,2.0549999999999997
ruler_437_r,average,2.0549999999999997
ruler_438_r,average,1.6059999999999999
ruler_439_r,average,1.6059999999999999
ruler_440_r,average,1.6059999999999999
